cond,block,white_point,gamma,chroma_gamma,saturation,value_in,hue_in_deg,chroma_out,lum_out,hue_out_deg
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,81,90.0,17.32,52.3,72.3
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,81,120.0,18.03,81.35,118.4
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,81,150.0,30.63,97.8,175.4
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,81,180.0,48.13,106.88,196.5
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,81,210.0,58.66,80.52,206.1
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,81,240.0,42.63,79.12,220.3
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,81,270.0,43.07,30.41,233.9
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,81,300.0,5.21,41.14,
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,81,330.0,3.7,247.42,
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,0.0,92.47,46.42,16.6
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,30.0,87.2,58.21,37.7
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,60.0,70.08,95.31,51.2
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,90.0,42.03,110.75,75.7
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,120.0,25.03,130.34,128.9
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,150.0,25.07,154.16,156.4
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,180.0,43.49,154.62,196.3
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,210.0,64.85,126.07,208.1
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,240.0,45.14,126.41,220.9
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,270.0,46.54,75.21,231.0
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,300.0,26.39,30.1,343.8
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,122,330.0,4.35,248.85,
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,0.0,109.45,113.64,18.4
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,30.0,101.28,155.0,32.4
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,60.0,93.01,180.29,43.8
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,90.0,50.81,174.09,60.0
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,120.0,29.67,180.63,75.0
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,150.0,14.45,201.21,119.3
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,180.0,35.91,188.37,200.9
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,210.0,51.98,165.37,212.1
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,240.0,35.22,176.79,212.4
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,270.0,14.6,162.16,327.1
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,300.0,54.31,100.5,357.5
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,163,330.0,3.8,251.19,
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,0.0,96.03,181.31,15.9
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,30.0,90.19,206.97,35.7
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,60.0,78.05,219.43,51.0
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,90.0,54.93,198.5,53.8
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,120.0,34.07,201.85,63.2
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,150.0,17.12,227.16,77.5
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,180.0,26.35,200.5,199.1
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,210.0,42.86,175.23,204.2
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,240.0,33.91,221.07,200.6
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,270.0,26.22,225.48,9.6
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,300.0,117.88,157.67,12.0
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,204,330.0,3.75,251.56,
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,0.0,55.97,219.45,28.5
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,30.0,50.43,236.23,54.6
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,60.0,45.42,239.32,58.2
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,90.0,39.25,235.68,51.4
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,120.0,13.49,245.57,71.2
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,150.0,5.9,251.65,
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,180.0,3.46,253.85,
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,210.0,32.24,188.24,197.0
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,240.0,10.42,251.16,180.2
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,270.0,0.27,254.9,
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,300.0,49.87,219.41,11.7
huevalue_wp0.75_g1.0_k2.0_s1.0,main,0.75,1.0,2.0,1.0,245,330.0,4.18,250.2,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,0.0,0.56,97.34,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,30.0,12.91,31.51,6.1
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,60.0,1.41,0.47,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,90.0,0.0,0.0,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,120.0,1.73,45.25,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,150.0,1.53,52.51,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,180.0,9.4,57.2,222.7
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,210.0,31.59,56.85,233.1
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,240.0,24.19,8.21,239.3
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,270.0,6.17,2.12,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,300.0,0.89,40.13,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,40,330.0,2.84,244.06,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,0.0,64.08,38.41,0.7
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,30.0,70.92,27.23,8.1
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,60.0,36.53,22.94,53.8
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,90.0,31.39,28.43,107.6
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,120.0,26.75,85.86,128.2
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,150.0,32.42,99.45,163.9
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,180.0,56.59,111.24,200.6
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,210.0,68.72,111.24,208.2
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,240.0,72.06,84.0,212.1
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,270.0,43.02,44.96,239.8
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,300.0,35.06,13.05,0.2
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,81,330.0,3.05,247.48,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,0.0,148.08,49.36,0.0
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,30.0,130.44,62.66,24.7
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,60.0,124.84,118.1,45.1
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,90.0,58.12,123.01,73.2
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,120.0,31.85,125.4,140.7
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,150.0,20.82,163.2,133.2
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,180.0,44.38,168.79,203.9
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,210.0,70.88,147.34,209.3
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,240.0,62.34,151.48,213.3
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,270.0,23.53,125.01,251.5
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,300.0,88.24,31.96,356.4
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,122,330.0,4.52,248.86,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,0.0,204.13,69.43,0.5
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,30.0,189.62,135.66,28.6
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,60.0,154.8,189.47,46.6
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,90.0,86.02,164.18,53.2
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,120.0,27.52,155.47,91.2
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,150.0,17.1,212.44,104.0
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,180.0,31.75,201.78,200.3
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,210.0,56.69,164.04,209.8
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,240.0,40.61,193.74,208.8
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,270.0,23.82,208.18,355.4
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,300.0,148.6,117.09,9.0
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,163,330.0,5.5,251.25,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,0.0,174.52,131.69,10.7
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,30.0,145.33,187.38,36.9
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,60.0,119.53,210.76,56.7
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,90.0,95.53,176.93,50.6
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,120.0,40.41,170.2,70.6
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,150.0,17.48,233.18,69.6
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,180.0,21.83,212.98,194.5
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,210.0,54.77,162.09,205.4
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,240.0,30.95,227.4,200.8
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,270.0,0.16,254.94,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,300.0,122.11,169.94,10.9
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,204,330.0,3.88,251.64,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,0.0,116.31,181.64,22.9
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,30.0,100.94,216.58,52.5
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,60.0,96.41,221.62,58.1
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,90.0,67.19,207.13,55.1
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,120.0,23.35,222.15,70.6
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,150.0,6.96,250.47,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,180.0,5.68,253.1,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,210.0,52.09,164.3,197.5
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,240.0,14.31,246.95,187.8
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,270.0,0.07,254.98,
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,300.0,37.64,227.27,9.1
huevalue_wp0.88_g1.0_k1.0_s1.0,main,0.88,1.0,1.0,1.0,245,330.0,2.49,251.53,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,0.0,1.93,88.26,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,30.0,11.61,28.37,10.7
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,60.0,1.89,3.58,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,90.0,1.62,4.6,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,120.0,2.66,54.16,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,150.0,2.79,55.84,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,180.0,7.81,58.22,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,210.0,32.97,41.74,229.2
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,240.0,20.0,8.93,234.0
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,270.0,8.29,5.27,225.2
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,300.0,3.46,61.35,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,40,330.0,2.7,243.36,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,0.0,60.66,29.38,1.0
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,30.0,66.41,28.58,16.4
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,60.0,37.41,22.65,50.0
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,90.0,28.95,41.06,97.6
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,120.0,28.43,81.44,130.1
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,150.0,36.25,98.16,167.2
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,180.0,54.84,109.6,196.3
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,210.0,74.58,97.2,207.2
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,240.0,62.27,80.42,215.6
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,270.0,47.64,42.24,233.1
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,300.0,21.94,18.91,358.2
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,81,330.0,2.28,246.67,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,0.0,138.12,51.33,6.0
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,30.0,126.78,71.63,30.1
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,60.0,121.38,120.69,46.5
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,90.0,64.83,133.21,66.0
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,120.0,28.95,136.3,107.0
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,150.0,18.47,170.57,125.5
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,180.0,41.2,170.87,198.9
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,210.0,71.35,143.38,208.9
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,240.0,52.3,146.68,213.9
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,270.0,21.39,121.12,237.4
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,300.0,54.7,32.74,332.6
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,122,330.0,4.84,248.81,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,0.0,183.12,100.98,13.2
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,30.0,148.06,162.95,31.0
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,60.0,125.36,197.57,45.1
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,90.0,72.5,181.22,53.0
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,120.0,31.42,181.22,73.1
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,150.0,18.02,219.94,106.4
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,180.0,31.19,205.27,196.4
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,210.0,48.2,175.07,209.3
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,240.0,38.61,199.0,205.2
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,270.0,20.08,203.92,354.4
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,300.0,109.27,141.44,11.8
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,163,330.0,5.66,250.66,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,0.0,108.18,177.09,16.2
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,30.0,99.68,208.89,37.6
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,60.0,82.6,225.93,57.8
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,90.0,71.82,204.95,51.1
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,120.0,30.65,207.55,61.4
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,150.0,14.79,240.06,71.7
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,180.0,15.33,223.7,191.3
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,210.0,37.8,182.32,200.8
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,240.0,25.37,236.22,192.9
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,270.0,0.23,254.91,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,300.0,61.17,206.56,8.8
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,204,330.0,1.97,252.37,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,0.0,53.25,218.04,31.9
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,30.0,48.01,238.68,59.5
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,60.0,49.19,238.55,59.8
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,90.0,40.49,235.81,56.3
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,120.0,11.87,244.95,66.2
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,150.0,8.23,250.63,154.4
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,180.0,1.72,254.41,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,210.0,25.54,196.05,191.0
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,240.0,11.81,250.69,181.0
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,270.0,0.02,254.99,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,300.0,2.62,252.7,
huevalue_wp0.88_g1.0_k1.5_s1.0,main,0.88,1.0,1.5,1.0,245,330.0,1.99,251.44,
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,0.0,2.64,90.86,
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,30.0,6.62,30.64,
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,60.0,1.62,4.26,
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,90.0,1.21,3.35,
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,120.0,1.71,49.33,
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,150.0,3.93,54.76,
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,180.0,8.12,56.91,208.8
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,210.0,29.79,51.33,227.0
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,240.0,21.89,7.76,237.6
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,270.0,9.98,3.57,237.0
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,300.0,3.18,38.91,
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,40,330.0,5.58,244.31,
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,0.0,51.78,26.34,5.3
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,30.0,60.93,29.19,25.8
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,60.0,36.02,22.09,51.4
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,90.0,26.46,39.75,83.5
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,120.0,23.91,83.57,116.4
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,150.0,33.91,101.27,168.8
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,180.0,50.36,111.67,193.9
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,210.0,59.76,105.93,204.6
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,240.0,48.57,83.52,216.0
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,270.0,43.44,44.68,231.1
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,300.0,22.27,11.6,356.0
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,81,330.0,2.74,247.6,
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,122,0.0,103.44,61.33,22.9
huevalue_wp0.88_g1.0_k2.0_s1.0,main,0.88,1.0,2.0,1.0,122,30.0,119.52,86.65,34.8
