cond,white_point,gamma,chroma_gamma,saturation,input_value,out_lum,out_r,out_g,out_b,chroma,grain,anisotropy,hue_deg
tonefine_wp0.88_g1.4_k1.0_s1.0,0.88,1.4,1.0,1.0,192,220.61,232.0,219.11,210.73,21.27,4.14,1.025,23.0
tonefine_wp0.88_g1.4_k1.0_s1.0,0.88,1.4,1.0,1.0,196,228.81,241.69,226.91,217.84,23.84,3.41,5.205,22.1
tonefine_wp0.88_g1.4_k1.0_s1.0,0.88,1.4,1.0,1.0,200,251.78,253.33,251.59,250.42,2.91,2.4,2.336,
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,100,18.14,16.09,19.37,18.97,3.28,54.19,0.262,
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,104,7.71,2.24,14.44,6.47,12.2,4.74,3.551,140.0
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,108,3.03,2.73,3.76,2.62,1.14,17.06,0.221,
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,112,36.41,36.36,36.72,36.15,0.58,70.87,0.003,
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,116,39.64,38.49,40.35,40.09,1.86,70.45,0.004,
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,120,45.29,41.76,46.84,47.28,5.52,70.96,0.011,
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,124,46.74,41.29,50.94,47.99,9.65,66.97,0.022,162.7
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,128,35.3,29.08,40.63,36.2,11.55,12.94,5.473,157.6
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,132,48.42,43.15,54.91,47.22,11.76,12.53,8.811,139.9
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,136,68.04,60.43,75.77,67.92,15.33,55.19,0.025,149.2
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,140,67.68,58.93,75.48,68.62,16.54,60.32,0.003,155.7
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,144,172.6,167.98,176.91,172.9,8.94,97.05,0.04,153.4
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,148,246.82,250.38,244.46,245.63,5.92,6.0,0.042,
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,152,73.47,60.46,86.77,73.16,26.31,34.08,0.288,148.9
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,156,104.26,98.26,115.84,98.68,17.58,46.02,0.047,121.2
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,160,117.91,117.57,126.72,109.44,17.28,45.46,0.003,91.9
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,164,127.96,133.86,133.93,116.1,17.84,42.02,0.004,60.2
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,168,149.2,157.4,152.11,138.08,19.33,33.66,0.002,44.6
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,172,162.0,171.33,164.11,150.55,20.79,28.62,0.001,40.0
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,176,171.46,182.11,171.81,160.45,21.66,23.65,0.002,31.6
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,180,173.91,184.3,174.98,162.45,21.86,5.48,0.036,34.8
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,184,180.42,190.28,180.68,170.29,19.99,2.71,3.566,31.3
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,188,196.28,207.96,197.05,183.84,24.13,3.68,0.96,33.1
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,192,181.49,197.41,183.02,164.05,33.36,5.55,0.438,34.5
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,196,194.57,208.94,196.08,178.67,30.27,16.76,0.085,35.0
tonefine_wp0.88_g1.8_k1.0_s1.0,0.88,1.8,1.0,1.0,200,249.85,251.67,250.19,247.7,3.97,2.85,4.858,
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,100,51.42,30.46,66.76,57.05,36.3,36.19,0.143,165.0
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,104,49.83,27.36,69.29,52.84,41.93,4.59,4.151,157.1
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,108,44.29,24.16,64.66,44.04,40.5,6.64,3.605,149.4
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,112,69.56,54.35,87.33,67.0,32.97,51.9,0.03,142.3
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,116,97.22,89.86,110.51,91.28,20.65,55.71,0.015,123.5
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,120,111.76,105.71,123.1,106.48,17.39,50.21,0.015,122.2
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,124,126.55,125.26,136.33,118.07,18.27,44.18,0.022,97.0
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,128,136.63,141.18,142.94,125.76,17.18,36.44,0.052,65.3
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,132,135.01,145.0,140.04,120.0,25.0,7.61,2.15,49.2
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,136,134.93,144.7,141.88,118.2,26.49,7.96,49.527,54.5
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,140,141.75,152.2,148.07,124.99,27.21,17.51,0.107,51.9
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,144,169.32,177.1,174.61,156.24,20.86,44.99,0.052,53.7
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,148,246.13,249.63,243.71,245.06,5.92,4.39,0.444,
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,152,166.56,180.67,172.74,146.28,34.39,7.5,0.277,47.3
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,156,176.86,191.15,181.59,157.84,33.31,17.59,0.054,43.8
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,160,184.94,199.0,188.32,167.51,31.49,22.8,0.003,40.5
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,164,191.9,205.96,193.94,175.79,30.18,21.69,0.002,36.7
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,168,202.65,214.43,202.84,190.68,23.74,18.27,0.001,30.8
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,172,209.81,216.22,211.37,201.85,14.37,15.81,0.004,40.6
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,176,216.85,221.2,219.32,210.03,11.17,13.13,0.012,51.0
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,180,221.13,224.15,223.01,216.22,7.93,10.83,0.01,
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,184,223.11,225.81,224.98,218.54,7.28,7.74,0.051,
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,188,227.36,230.93,229.31,221.84,9.08,3.35,0.737,50.4
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,192,221.61,233.54,219.45,211.83,21.71,4.65,0.769,20.2
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,196,224.5,237.73,223.03,212.73,25.0,3.63,4.147,24.2
tonefine_wp0.75_g1.0_k2.0_s1.0,0.75,1.0,2.0,1.0,200,251.16,252.8,251.44,249.24,3.56,2.54,3.855,
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,100,93.48,72.38,106.58,101.5,34.2,83.01,0.042,172.1
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,104,60.0,37.87,78.68,63.46,40.82,28.9,0.055,158.3
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,108,47.66,26.77,68.31,47.9,41.54,5.66,1.893,150.6
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,112,51.09,33.71,70.11,49.44,36.41,7.24,3.811,145.5
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,116,90.67,80.29,104.66,87.07,24.37,55.54,0.024,135.6
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,120,111.06,103.02,122.66,107.5,19.65,51.19,0.014,132.6
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,124,126.91,123.47,136.64,120.62,16.01,44.99,0.025,110.4
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,128,141.94,145.16,147.77,132.87,14.9,37.81,0.032,69.4
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,132,145.09,154.0,149.53,131.74,22.26,23.98,0.14,49.1
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,136,137.97,147.57,144.1,122.24,25.33,9.75,72.749,52.7
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,140,137.35,145.01,144.53,122.51,22.5,5.47,4.391,58.9
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,144,152.11,158.9,159.7,137.72,21.98,31.4,0.088,61.8
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,148,246.78,249.39,244.26,246.7,5.13,4.11,0.207,
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,152,163.74,174.54,171.29,145.38,29.16,2.92,1.571,54.2
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,156,169.96,181.75,175.75,152.38,29.37,2.9,3.149,48.8
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,160,174.79,187.92,179.65,156.78,31.14,7.6,0.057,45.1
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,164,187.87,201.06,191.14,171.42,29.64,21.21,0.005,40.8
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,168,202.71,212.79,203.22,192.13,20.66,19.39,0.001,32.4
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,172,209.79,214.41,211.4,203.56,10.86,16.43,0.004,44.4
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,176,217.21,219.99,219.41,212.23,7.77,13.66,0.006,
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,180,222.1,224.33,224.09,217.88,6.46,11.01,0.009,
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,184,226.78,227.18,229.28,223.87,5.41,9.17,0.011,
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,188,230.09,232.75,231.73,225.81,6.94,6.44,0.093,
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,192,224.02,233.56,222.96,215.54,18.02,6.63,0.334,24.2
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,196,224.12,236.61,223.0,212.73,23.88,3.47,2.532,25.4
tonefine_wp0.75_g1.0_k1.0_s0.7,0.75,1.0,1.0,0.7,200,250.8,252.01,250.53,249.84,2.17,2.67,3.619,
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,100,59.09,37.29,72.72,67.26,35.43,42.9,0.114,171.8
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,104,54.15,31.24,72.07,59.15,40.83,4.29,2.519,162.0
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,108,49.61,30.31,68.52,49.99,38.21,6.21,5.273,151.0
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,112,71.06,57.1,86.68,69.41,29.58,44.83,0.05,144.5
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,116,102.98,93.85,115.07,100.0,21.22,56.4,0.024,136.4
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,120,117.75,111.74,127.54,113.97,15.8,50.21,0.023,127.5
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,124,132.72,130.03,141.49,126.64,14.85,44.09,0.036,107.4
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,128,144.21,149.17,148.64,134.81,14.36,37.57,0.052,58.1
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,132,140.41,148.78,145.24,127.2,21.59,8.26,2.686,51.2
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,136,140.77,150.5,145.9,125.93,24.57,10.25,157.164,49.9
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,140,142.1,150.21,148.65,127.45,22.76,15.24,0.045,56.5
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,144,168.03,174.3,173.61,156.19,18.11,43.8,0.043,58.1
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,148,248.37,251.0,245.73,248.37,5.27,3.86,0.202,
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,152,167.33,178.76,173.98,149.25,29.51,4.64,0.383,51.3
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,156,176.98,188.36,182.62,159.98,28.37,14.84,0.073,49.0
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,160,188.1,199.9,191.97,172.41,27.49,22.98,0.003,43.7
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,164,196.15,208.61,197.82,182.01,26.6,22.59,0.001,36.2
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,168,207.6,216.16,208.09,198.54,17.61,18.65,0.002,32.8
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,172,214.88,218.45,217.02,209.17,9.28,15.41,0.003,51.8
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,176,221.72,224.26,223.49,217.4,6.86,13.03,0.004,
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,180,226.09,228.2,228.16,221.91,6.29,10.98,0.008,
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,184,226.87,228.07,229.16,223.38,5.77,6.31,0.055,
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,188,231.45,233.72,232.87,227.75,5.97,2.97,1.206,
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,192,222.9,234.0,221.15,213.56,20.44,4.45,0.554,21.6
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,196,225.71,238.0,224.5,214.65,23.35,3.54,2.212,24.8
tonefine_wp0.75_g1.0_k1.0_s1.3,0.75,1.0,1.0,1.3,200,252.42,253.42,252.35,251.5,1.93,2.32,8.17,
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,100,9.97,4.08,11.25,14.58,10.49,8.3,0.194,198.0
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,104,46.05,36.09,53.42,48.62,17.33,54.59,0.135,164.4
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,108,47.91,40.78,52.63,50.31,11.86,72.92,0.001,169.4
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,112,44.34,40.44,46.91,45.66,6.46,74.91,0.001,
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,116,42.57,35.55,44.88,47.28,11.74,71.73,0.007,191.2
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,120,16.22,4.34,22.04,22.3,17.96,18.41,0.176,180.7
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,124,20.51,6.66,29.73,25.14,23.07,6.61,6.267,169.1
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,128,68.87,59.49,75.9,71.2,16.41,59.77,0.048,163.9
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,132,87.72,82.24,93.44,87.48,11.2,56.34,0.009,147.9
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,136,84.84,75.59,93.85,85.08,18.26,57.57,0.003,151.3
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,140,84.82,78.31,91.75,84.4,13.44,58.6,0.002,146.9
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,144,255.0,255.0,255.0,255.0,0.0,0.09,3.896,
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,148,254.99,255.0,254.98,255.0,0.02,0.11,1.064,
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,152,120.99,116.25,129.55,117.15,13.3,47.25,0.01,123.5
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,156,128.5,128.01,135.97,121.53,14.44,42.97,0.003,93.4
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,160,120.58,124.96,126.89,109.87,17.02,32.38,0.096,65.9
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,164,119.26,127.94,125.1,104.74,23.2,4.78,1.065,53.6
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,168,140.04,148.49,142.78,128.85,19.64,4.36,3.23,43.6
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,172,164.73,172.26,167.82,154.1,18.16,27.63,0.124,46.5
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,176,184.33,189.85,187.44,175.68,14.18,27.39,0.04,50.8
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,180,191.83,194.85,195.28,185.37,9.91,23.25,0.012,62.2
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,184,198.39,200.28,202.09,192.79,9.3,19.84,0.007,70.6
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,188,189.56,194.41,192.83,181.43,12.98,23.61,0.006,53.6
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,192,181.44,198.55,183.35,162.43,36.12,5.07,0.334,35.2
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,196,255.0,254.99,255.0,255.0,0.01,0.04,5.184,
tonefine_wp0.75_g1.4_k1.5_s1.15,0.75,1.4,1.5,1.15,200,250.01,252.03,247.69,250.3,4.34,16.66,0.001,
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,100,4.14,0.94,5.31,6.17,5.23,5.97,0.191,
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,104,37.84,27.39,44.53,41.59,17.14,56.83,0.137,170.8
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,108,41.46,38.67,43.66,42.04,4.99,74.36,0.001,
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,112,39.85,38.28,40.63,40.65,2.37,74.74,0.0,
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,116,30.83,28.46,31.61,32.42,3.96,67.58,0.034,
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,120,3.63,0.08,4.6,6.22,6.14,3.41,8.925,
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,124,15.21,5.82,19.43,20.38,14.57,23.59,0.28,183.4
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,128,68.81,61.02,74.57,70.83,13.55,65.79,0.022,164.5
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,132,78.02,70.95,85.23,77.87,14.28,60.7,0.006,149.0
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,136,79.18,66.71,88.83,81.99,22.12,60.55,0.001,162.4
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,140,47.36,31.49,59.28,51.3,27.8,16.14,0.048,163.8
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,144,254.99,255.0,254.99,255.0,0.01,0.11,3.405,
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,148,205.85,207.05,204.95,205.54,2.1,95.7,0.0,
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,152,113.58,104.14,124.17,112.43,20.03,51.09,0.01,144.3
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,156,125.38,120.34,135.27,120.51,14.93,45.0,0.005,120.6
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,160,113.7,113.44,122.51,105.16,17.35,33.65,0.092,91.5
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,164,118.6,125.28,124.41,106.12,19.16,5.1,1.002,57.7
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,168,139.96,147.27,143.76,128.85,18.42,7.41,1.257,49.7
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,172,171.49,178.86,174.34,161.27,17.58,30.51,0.052,45.7
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,176,187.23,193.0,189.3,179.38,13.63,26.39,0.031,44.8
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,180,195.74,198.59,198.37,190.28,8.31,21.24,0.007,58.7
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,184,204.29,207.3,207.45,198.14,9.31,17.05,0.003,60.8
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,188,187.85,196.34,190.73,176.48,19.86,8.83,0.04,44.1
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,192,200.01,215.13,201.75,183.15,31.99,3.73,2.891,35.4
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,196,255.0,255.0,255.0,255.0,0.0,0.03,3.147,
tonefine_wp0.88_g1.8_k2.0_s1.3,0.88,1.8,2.0,1.3,200,183.54,185.25,182.07,183.3,3.18,104.77,0.0,
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,100,31.16,25.89,34.59,32.99,8.7,55.53,0.186,170.0
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,104,58.44,49.14,65.81,60.38,16.67,68.1,0.001,161.3
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,108,41.29,38.27,43.88,41.7,5.62,73.17,0.001,
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,112,35.59,34.05,36.96,35.77,2.91,71.35,0.012,
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,116,6.81,5.42,7.65,7.36,2.23,29.66,0.158,
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,120,5.4,0.19,8.72,7.28,8.52,4.52,4.596,170.9
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,124,36.95,27.09,42.95,40.8,15.85,60.06,0.054,172.8
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,128,70.84,60.22,77.75,74.56,17.53,62.67,0.024,170.2
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,132,75.41,63.67,84.47,78.09,20.79,59.84,0.006,162.6
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,136,77.67,62.64,88.4,81.96,25.75,59.02,0.001,166.1
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,140,50.57,37.5,60.63,53.59,23.14,8.41,0.185,162.7
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,144,255.0,255.0,254.99,255.0,0.01,0.07,5.334,
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,148,209.6,210.72,208.66,209.43,2.05,92.78,0.0,
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,152,118.6,110.04,130.47,115.3,20.43,47.42,0.016,134.4
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,156,124.46,118.52,136.15,118.71,17.64,43.46,0.002,120.6
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,160,109.68,106.81,120.53,101.71,18.82,32.51,0.091,104.8
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,164,109.0,111.07,117.37,98.57,18.81,5.14,0.699,79.2
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,168,132.55,136.64,136.91,124.1,12.81,4.36,4.118,61.1
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,172,157.27,161.47,162.81,147.54,15.27,28.0,0.095,64.6
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,176,175.66,181.51,179.3,166.16,15.35,27.27,0.023,52.3
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,180,183.25,188.8,186.05,174.9,13.91,23.49,0.007,49.2
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,184,190.54,195.28,193.26,183.07,12.2,20.04,0.007,51.2
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,188,182.55,189.78,185.19,172.69,17.09,22.19,0.013,45.0
tonefine_wp0.75_g1.4_k1.5_s1.0_rep2,0.75,1.4,1.5,1.0,192,180.85,193.54,187.09,161.92,31.61,3.59,0.951,48.9
