cond,white_point,gamma,chroma_gamma,saturation,period_px,orientation,contrast_in,modulation_out,retained
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,12,d,80,55.67,0.299
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,16,d,80,80.93,0.435
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,24,d,80,115.0,0.618
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,32,d,80,123.33,0.663
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,48,d,80,186.0,1.0
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,8,h,180,0.7,0.003
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,12,h,180,72.0,0.313
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,16,h,180,107.09,0.465
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,24,h,180,136.2,0.592
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,32,h,180,151.08,0.656
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,48,h,180,230.16,1.0
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,8,v,180,8.56,0.036
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,12,v,180,68.29,0.286
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,16,v,180,144.26,0.604
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,24,v,180,233.28,0.976
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,32,v,180,155.5,0.651
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,48,v,180,238.9,1.0
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,8,d,180,91.0,0.395
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,12,d,180,90.67,0.394
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,16,d,180,165.33,0.718
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,24,d,180,165.0,0.716
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,32,d,180,200.67,0.871
linepairs_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,48,d,180,230.33,1.0
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,8,h,80,9.75,0.061
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,12,h,80,27.03,0.17
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,16,h,80,59.06,0.372
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,24,h,80,94.84,0.597
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,32,h,80,116.12,0.731
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,48,h,80,158.85,1.0
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,8,v,80,0.04,0.0
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,12,v,80,3.54,0.024
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,16,v,80,88.62,0.598
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,24,v,80,133.82,0.903
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,32,v,80,126.12,0.851
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,48,v,80,148.14,1.0
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,8,d,80,0.33,0.002
